mainHeader	weeks	useIt	FurtherProcess	question	category	group
v13426_1_mnpmicageneral_radraucher	General/präoperativ	x	0	smoking	Ja/Nein (0/1)	General
v13426_1_mnpmicageneral_chknebenerkrankungen	General/präoperativ	x	0	other disease	checkbox	General
v13426_1_mnpmicageneral_chkadipositas	General/präoperativ	x	0	adipositas	checkbox	General
v13426_1_mnpmicageneral_chkgefaesserkrankung	General/präoperativ	x	0	vessels1	checkbox	General
v13426_1_mnpmicageneral_chkherzinfarkt	General/präoperativ	x	0	heart	checkbox	General
v13426_1_mnpmicageneral_chkcvi	General/präoperativ	x	0	cvi	checkbox	General
v13426_1_mnpmicageneral_chkatherosklerose	General/präoperativ	x	0	vessels2	checkbox	General
v13426_1_mnpmicageneral_chkdm	General/präoperativ	x	0	dm	checkbox	General
v13426_1_mnpmicageneral_chkrheuma	General/präoperativ	x	0	rheuma	checkbox	General
v13426_1_mnpmicageneral_chkweitere	General/präoperativ	x	0	further disease	checkbox	General
v13426_1_mnpmicageneral_txtweitere	General/präoperativ	x	0	further disease 2	checkbox	General
v13426_1_mnpmicawrittenconsent_mnpdocid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnplastedit	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpptnid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnppusid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnplang	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_sigstatus	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_sigreason	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpvsno	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpvslbl	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpcvpid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpvisid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpvisno	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpvispdt	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpvisfdt	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfs0	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfs1	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfs2	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfs3	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfcs0	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfcs1	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfcs2	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfcs3	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfsqa	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnpfsct	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_mnphide	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_daticpatient	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicawrittenconsent_daticinvestigator	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpdocid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnplastedit	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpptnid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnppusid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnplang	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_sigstatus	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_sigreason	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpvsno	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpvslbl	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpcvpid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpvisid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpvisno	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpvispdt	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpvisfdt	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfs0	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfs1	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfs2	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfs3	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfcs0	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfcs1	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfcs2	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfcs3	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfsqa	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnpfsct	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_mnphide	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_rad18	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_radinfconsent	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_raddemenz	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_radkornitiv	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicaeinauschluss_radeinschluss	General/präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpdocid	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnplastedit	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpptnid	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnppusid	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnplang	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_sigstatus	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_sigreason	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpvsno	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpvslbl	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpcvpid	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpvisid	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpvisno	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpvispdt	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpvisfdt	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfs0	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfs1	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfs2	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfs3	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfcs0	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfcs1	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfcs2	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfcs3	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfsqa	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnpfsct	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_mnphide	präoperativ	0	0	0	0	0
v13428_1_mnpmicaquestionnaire_chkkeineproblaufen	präoperativ	x	xx	Beweglichkeit_Mobilität	1	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkleichtproblaufen	präoperativ	x	xx	Beweglichkeit_Mobilität	2	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkmaessproblaufen	präoperativ	x	xx	Beweglichkeit_Mobilität	3	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkschwerproblaufen	präoperativ	x	xx	Beweglichkeit_Mobilität	4	EQ5D5L
v13428_1_mnpmicaquestionnaire_chknichtproblaufen	präoperativ	x	xx	Beweglichkeit_Mobilität	5	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkkeineprobwaschen	präoperativ	x	xx	Selbstversorgung	1	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkleichtprobwaschen	präoperativ	x	xx	Selbstversorgung	2	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkmaessprobwaschen	präoperativ	x	xx	Selbstversorgung	3	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkschwerprobwaschen	präoperativ	x	xx	Selbstversorgung	4	EQ5D5L
v13428_1_mnpmicaquestionnaire_chknichtprobwaschen	präoperativ	x	xx	Selbstversorgung	5	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkkeineprobakt	präoperativ	x	xx	AlltäglicheAktivitäten	1	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkleichtproblakt	präoperativ	x	xx	AlltäglicheAktivitäten	2	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkmaessproblakt	präoperativ	x	xx	AlltäglicheAktivitäten	3	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkschwerprobakt	präoperativ	x	xx	AlltäglicheAktivitäten	4	EQ5D5L
v13428_1_mnpmicaquestionnaire_chknichtprobakt	präoperativ	x	xx	AlltäglicheAktivitäten	5	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkkeineprobschmerz	präoperativ	x	xx	KoerperlicheBeschwerden	1	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkleichtprobschmerz	präoperativ	x	xx	KoerperlicheBeschwerden	2	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkmaessprobschmerz	präoperativ	x	xx	KoerperlicheBeschwerden	3	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkschwerprobschmerz	präoperativ	x	xx	KoerperlicheBeschwerden	4	EQ5D5L
v13428_1_mnpmicaquestionnaire_chknichtprobschmerz	präoperativ	x	xx	KoerperlicheBeschwerden	5	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkkeineprobangst	präoperativ	x	xx	Niedergeschlagenheit	1	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkleichtprobangst	präoperativ	x	xx	Niedergeschlagenheit	2	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkmaessprobangst	präoperativ	x	xx	Niedergeschlagenheit	3	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkschwerprobangst	präoperativ	x	xx	Niedergeschlagenheit	4	EQ5D5L
v13428_1_mnpmicaquestionnaire_chknichtprobangst	präoperativ	x	xx	Niedergeschlagenheit	5	EQ5D5L
v13428_1_mnpmicaquestionnaire_chkkeineprobschuhe	präoperativ	x	xx	Schuhwerk	1	shoe wear
v13428_1_mnpmicaquestionnaire_chkleichtprobschuhe	präoperativ	x	xx	Schuhwerk	2	shoe wear
v13428_1_mnpmicaquestionnaire_chkmaessprobschuhe	präoperativ	x	xx	Schuhwerk	3	shoe wear
v13428_1_mnpmicaquestionnaire_rboschmerzzeit	präoperativ	x	0	Schmermitteleinnahme	0 bis 5	pain killers
v13428_1_mnpmicaquestionnaire_chkdafalgan	präoperativ	x	0	dafalgan	checkbox	pain killers
v13428_1_mnpmicaquestionnaire_cbodosisdafalgan	präoperativ	x	0	daily intake	0	pain killers
v13428_1_mnpmicaquestionnaire_chknovalgin	präoperativ	x	0	novalgin	checkbox	pain killers
v13428_1_mnpmicaquestionnaire_cbodosisnovalgin	präoperativ	x	0	daily intake	0	pain killers
v13428_1_mnpmicaquestionnaire_chktramal	präoperativ	x	0	tramal	checkbox	pain killers
v13428_1_mnpmicaquestionnaire_cbodosistramal	präoperativ	x	0	daily intake	0	pain killers
v13428_1_mnpmicaquestionnaire_chkandere	präoperativ	x	0	others	checkbox	pain killers
v13428_1_mnpmicaquestionnaire_txtandere	präoperativ	x	0	0	0	pain killers
v13428_1_mnpmicaquestionnaire_cbodosisandere	präoperativ	x	0	0	0	pain killers
v13428_1_mnpmicaquestionnaire_radschmerzmvorop	präoperativ	x	0	pain killers preop	Ja/Nein (0/1)	pain killers
v13428_1_mnpmicaquestionnaire_txtwelcheschmerzm	präoperativ	x	0	what kind of preop	0	pain killers
v13428_1_mnpmicaquestionnaire_intgengesundheit	präoperativ	x	0	0 bis 100	genereller Gesundheitszustand	EQVAS
v13428_1_mnpmicaquestionnaire_radschmerzschlimm	präoperativ	x	0	0 bis 10	last 4 weeks worst pain	FFI
v13428_1_mnpmicaquestionnaire_radschmerzmorgen	präoperativ	x	0	0 bis 10	last 4 weeks morning	FFI
v13428_1_mnpmicaquestionnaire_radschmerzbarfussla	präoperativ	x	0	0 bis 10	last 4 weeks barefoot	FFI
v13428_1_mnpmicaquestionnaire_radschmerzbarfussst	präoperativ	x	0	0 bis 10	last 4 weeks barefoot standing	FFI
v13428_1_mnpmicaquestionnaire_radschmerzlaufsch	präoperativ	x	0	0 bis 10	last 4 weeks walking with boots	FFI
v13428_1_mnpmicaquestionnaire_radschmerzstehensch	präoperativ	x	0	0 bis 10	last 4 weeks standing with boots	FFI
v13428_1_mnpmicaquestionnaire_radschmerzlaufenort	präoperativ	x	0	0 bis 10	last 4 weeks walking with insoles	FFI
v13428_1_mnpmicaquestionnaire_radschmerzstehenort	präoperativ	x	0	0 bis 10	last 4 weeks standing with insoles	FFI
v13428_1_mnpmicaquestionnaire_radschmerzabend	präoperativ	x	0	0 bis 10	last 4 weeks evening	FFI
v13428_1_mnpmicaquestionnaire_radlaufenwohnung	präoperativ	x	0	0 bis 10	complains during acitivities walking at home	FFI
v13428_1_mnpmicaquestionnaire_radgehenausserhaus	präoperativ	x	0	0 bis 10	complains during acitivities walking outdoors	FFI
v13428_1_mnpmicaquestionnaire_radlaufenmaxstrecke	präoperativ	x	0	0 bis 10	complains during acitivities on max walking distance	FFI
v13428_1_mnpmicaquestionnaire_radtreppeoben	präoperativ	x	0	0 bis 10	complains during acitivities climb up stairs	FFI
v13428_1_mnpmicaquestionnaire_radtreppeunten	präoperativ	x	0	0 bis 10	complains during acitivities climb down stairs	FFI
v13428_1_mnpmicaquestionnaire_radstehenzehenspitz	präoperativ	x	0	0 bis 10	complains during acitivities standing on toes	FFI
v13428_1_mnpmicaquestionnaire_radaufstehenstuhl	präoperativ	x	0	0 bis 10	complains during acitivities get up from chair	FFI
v13428_1_mnpmicaquestionnaire_radbordsteinkante	präoperativ	x	0	0 bis 10	complains during acitivities walking over a curb	FFI
v13428_1_mnpmicaquestionnaire_radschnellgehen	präoperativ	x	0	0 bis 10	complains during acitivities walking fastly	FFI
v13428_1_mnpmicaquestionnaire_radhilfmittelzuhause	präoperativ	x	0	0 bis 10	aid device at home cause of foot complains	FFI
v13428_1_mnpmicaquestionnaire_radhilfsmittelausha	präoperativ	x	0	0 bis 10	aid device outdoors cause of foot complains	FFI
v13428_1_mnpmicaquestionnaire_radfussprobzuhause	präoperativ	x	0	0 bis 10	stay at home mostly cause of foot complains	FFI
v13428_1_mnpmicaquestionnaire_radfussprobbett	präoperativ	x	0	0 bis 10	stay at bed mostly cause of foot complains	FFI
v13428_1_mnpmicaquestionnaire_radfussprobaktiveins	präoperativ	x	0	0 bis 10	limited activities cause of foot complains	FFI
v13428_1_mnpmicaquestionnaire_radschmerzenfuss	präoperativ	x	0	0 bis 4 	painMOXFQ	MOXFQ
v13428_1_mnpmicaquestionnaire_radkeinelangenstreck	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radaenderungartweise	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radgehelangsam	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radanhalten	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radoberflaeche	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radlangestehen	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radauto	präoperativ	x	0	0 bis 4 	walking_n_standing	MOXFQ
v13428_1_mnpmicaquestionnaire_radselbstbewusst	präoperativ	x	0	0 bis 4 	social_interaction	MOXFQ
v13428_1_mnpmicaquestionnaire_radschuhe	präoperativ	x	0	0 bis 4 	social_interaction	MOXFQ
v13428_1_mnpmicaquestionnaire_radschmerzhaftabend	präoperativ	x	0	0 bis 4 	painMOXFQ	MOXFQ
v13428_1_mnpmicaquestionnaire_radstechend	präoperativ	x	0	0 bis 4 	painMOXFQ	MOXFQ
v13428_1_mnpmicaquestionnaire_radarbeitalltagakt	präoperativ	x	0	0 bis 4 	social_interaction	MOXFQ
v13428_1_mnpmicaquestionnaire_radsozial	präoperativ	x	0	0 bis 4 	social_interaction	MOXFQ
v13428_1_mnpmicaquestionnaire_radschmerznachts	präoperativ	x	0	0 bis 4 	painMOXFQ	MOXFQ
v13428_1_mnpmicaquestionnaire_radschmerzenfuss1	präoperativ	x	0	0 bis 4 	painMOXFQ	MOXFQ
v13428_1_mnpmicaquestionnaire_radzufrieden	präoperativ	x	0	0 bis 10	0	satisfaction
v13428_1_mnpmicaquestionnaire_radweiterempfehlung	präoperativ	x	0	0 bis 10	0	recommondation
v13425_1_mnpmicaquestionnaire_mnpdocid	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnplastedit	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpptnid	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnppusid	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnplang	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_sigstatus	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_sigreason	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpvsno	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpvslbl	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpcvpid	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpvisid	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpvisno	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpvispdt	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpvisfdt	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfs0	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfs1	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfs2	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfs3	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfcs0	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfcs1	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfcs2	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfcs3	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfsqa	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnpfsct	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_mnphide	6 weeks	0	0	0	0	0
v13425_1_mnpmicaquestionnaire_chkkeineproblaufen	6 weeks	x	xx	Beweglichkeit_Mobilität	1	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkleichtproblaufen	6 weeks	x	xx	Beweglichkeit_Mobilität	2	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkmaessproblaufen	6 weeks	x	xx	Beweglichkeit_Mobilität	3	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkschwerproblaufen	6 weeks	x	xx	Beweglichkeit_Mobilität	4	EQ5D5L
v13425_1_mnpmicaquestionnaire_chknichtproblaufen	6 weeks	x	xx	Beweglichkeit_Mobilität	5	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkkeineprobwaschen	6 weeks	x	xx	Selbstversorgung	1	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkleichtprobwaschen	6 weeks	x	xx	Selbstversorgung	2	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkmaessprobwaschen	6 weeks	x	xx	Selbstversorgung	3	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkschwerprobwaschen	6 weeks	x	xx	Selbstversorgung	4	EQ5D5L
v13425_1_mnpmicaquestionnaire_chknichtprobwaschen	6 weeks	x	xx	Selbstversorgung	5	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkkeineprobakt	6 weeks	x	xx	AlltäglicheAktivitäten	1	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkleichtproblakt	6 weeks	x	xx	AlltäglicheAktivitäten	2	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkmaessproblakt	6 weeks	x	xx	AlltäglicheAktivitäten	3	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkschwerprobakt	6 weeks	x	xx	AlltäglicheAktivitäten	4	EQ5D5L
v13425_1_mnpmicaquestionnaire_chknichtprobakt	6 weeks	x	xx	AlltäglicheAktivitäten	5	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkkeineprobschmerz	6 weeks	x	xx	KoerperlicheBeschwerden	1	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkleichtprobschmerz	6 weeks	x	xx	KoerperlicheBeschwerden	2	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkmaessprobschmerz	6 weeks	x	xx	KoerperlicheBeschwerden	3	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkschwerprobschmerz	6 weeks	x	xx	KoerperlicheBeschwerden	4	EQ5D5L
v13425_1_mnpmicaquestionnaire_chknichtprobschmerz	6 weeks	x	xx	KoerperlicheBeschwerden	5	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkkeineprobangst	6 weeks	x	xx	Niedergeschlagenheit	1	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkleichtprobangst	6 weeks	x	xx	Niedergeschlagenheit	2	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkmaessprobangst	6 weeks	x	xx	Niedergeschlagenheit	3	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkschwerprobangst	6 weeks	x	xx	Niedergeschlagenheit	4	EQ5D5L
v13425_1_mnpmicaquestionnaire_chknichtprobangst	6 weeks	x	xx	Niedergeschlagenheit	5	EQ5D5L
v13425_1_mnpmicaquestionnaire_chkkeineprobschuhe	6 weeks	x	xx	Schuhwerk	1	shoe wear
v13425_1_mnpmicaquestionnaire_chkleichtprobschuhe	6 weeks	x	xx	Schuhwerk	2	shoe wear
v13425_1_mnpmicaquestionnaire_chkmaessprobschuhe	6 weeks	x	xx	Schuhwerk	3	shoe wear
v13425_1_mnpmicaquestionnaire_rboschmerzzeit	6 weeks	x	0	Schmermitteleinnahme	0 bis 5	pain killers
v13425_1_mnpmicaquestionnaire_chkdafalgan	6 weeks	x	0	dafalgan	checkbox	pain killers
v13425_1_mnpmicaquestionnaire_cbodosisdafalgan	6 weeks	x	0	daily intake	0	pain killers
